Memo ID,Memo description,script ID
R1Memo_001,베개 안에 건강 부적을 발견 후 기록됨,Dialogue_0092
R1Memo_002,다이어리에서 의문점을 느낀 것을 메모로 작성,Dialogue_0093
R1Memo_003,열쇠를 획득 했다는 내용.,Dialogue_0094
R1Memo_004,노트북,Dialogue_0095
R1Memo_005,포스터,Dialogue_0105
R1Memo_006,자퇴서에 대한 메모,Dialogue_0297
R1Memo_007,생일에 대한 메모,Dialogue_0124
R1Memo_008,10월 31일에 대한 메모,Dialogue_0125
R1Memo_009,10월 1일에 대한 메모,Dialogue_0126
R1Memo_010,우연의 생일에 대한 메모,Dialogue_0127
R1Memo_011,상자 내부 사진에 대한 메모,Dialogue_0183
R1Memo_012,술과 감기약에 대한 메모,Dialogue_0293
R1Memo_013,전단지에 대한 메모,Dialogue_0111
R1Memo_014,2회차 방탈출 추가 사항,Dialogue_1162
F1Memo_001,카페에 대한 메모,Dialogue_0172
F1Memo_002,카페에 대한 메모2,Dialogue_0173
F1Memo_003,영수증에 대한 메모,Dialogue_0176
F1Memo_004,신호등에 대한 메모,Dialogue_0179
F1Memo_005,남은 카페라떼에 대한 메모,Dialogue_0182
F1Memo_006,1층 옷가게에 대한 메모,Dialogue_0186
F1Memo_007,2층 옷가게에 대한 메모,Dialogue_0189
F1Memo_008,공사장에 대한 메모,Dialogue_0192
F1Memo_009,행인에 대한 메모,Dialogue_0219
F1Memo_010,화환에 대한 메모,Dialogue_0222
R2Memo_001,병원 전단지에 대한 메모,Dialogue_1132
R2Memo_002,바다 포스터에 대한 메모,Dialogue_1133
R2Memo_003,다이어리(비밀번호 : 생일)에 대한 메모,Dialogue_1134
R2Memo_004,떨어진 책에 대한 메모,Dialogue_1135
R2Memo_005,별 모양 스티커들에 대한 메모 하나,Dialogue_1136
R2Memo_006,반짇고리를 열고 난 후에 메모 하나,Dialogue_1137
R2Memo_007,틴케이스를 열고 난 후에 메모 하나,Dialogue_1138
R2Memo_008,쇼핑백을 클릭한 이후에 메모 하나,Dialogue_1139
R2Memo_009,꿈일기에 대한 메모 하나.,Dialogue_1158
R2Memo_010,처방 약들에 대한 메모 하나,Dialogue_1141
F2Memo_001,신호등 메모,Dialogue_1142
F2Memo_002,호객행위 메모,Dialogue_1143
F2Memo_003,편의점 메모,Dialogue_1144
F2Memo_004,청소년 메모,Dialogue_1145
F2Memo_005,옷가게 메모,Dialogue_1146
F2Memo_006,경찰 메모,Dialogue_1147
F2Memo_007,담배피는 사람 메모,Dialogue_1148
F2Memo_008,클럽 가드 메모,Dialogue_1149
TEMP_MEMO,스크립트 작성 전 임시 메모,TEMP_SCRIPT
