Kor,Eng
우연,???
우연,Accidy
필연,Fate
,
안녕,Hello.
깼어?,You’re awake?
...,...
응,Yeah.
우선 조용히 상황을 파악하자.,Let’s stay quiet for now and figure out the situation.  
숨겨봤자 걸릴게 뻔하다. \n...상대방은 내 목소리를 못들은 것 같다.,Hiding is pointless—we’ll be caught anyway. \n...Seems like they didn’t hear my voice. 
옆에서 들린 목소리는,The voice coming from nearby was—  
여자,A Girl
남자,A Boy
부드럽고 얇은 느낌의 여자 목소리였다.,It was a woman's voice` soft and thin.
편히 듣기 좋은 남자 목소리였다.,It was a male voice that was easy on the ears.
그나저나 여긴 어디지...,Anyway` where am I...
약...약이 너무 강했나...,The medicine... Was it too strong...?
어쩌지...이러다가 죽어버리면….죽어버리면…,What do I do... At this rate` I'll die... I'll die...
손톱을 물어뜯는 건가? \n냅두면 계속해서 물어뜯을 것 같다\n우선 말려야겠지.,Are they biting their nails?\nIf I leave them be` they'll keep biting.\nI should stop them.
깼어,I woke up.
아! 다행이다! 큰 문제는 없나봐!\n혹시 죽었을까봐 걱정이었어!,Ah! Thank goodness! Looks like there's no serious problem!\nI was worried you might have died!
아무렇지 않게 말하네....,You say it like it's nothing....
자! 그럼 이제 어서 아~ 해.,"Alright! Then hurry up and say ""Ah~."""
응?,Huh?
아플 테니까 죽 먹어야지! 아~,It's going to hurt` so you should eat some porridge! Say ah~
무의식적으로 몸을 피했다. ,I instinctively dodged.
이번엔 진짜... 약은 안 탔는데....,This time` seriously... I didn't lace it....
정말인데.... ,I'm serious....
날 믿지 못하는 거야? 응?,You don’t trust me? Huh?
죽을 먹는다.,I eat the porridge.
무시한다.,Ignore it.
내가 먹을 때까지 계속 손톱을 물어뜯을 것 같다.,I think I’ll keep biting my nails until I eat.
먹을게.,I'll eat it.
어차피 내가 먹겠다 할 때까지 저러고 있었겠지.,Anyway` they would’ve kept that up until I said I’d eat it.
와~ 역시 나를 믿어주는구나! 기뻐!,Wow~ I knew you’d trust me! I’m so happy!
다 먹었네! 장하다!\n있잖아` 나도 {PlayerName}(이)랑만 붙어있고 싶은데...,
나 꼭 나가봐야 하는 일이 있어서 말이야.,I’ve got something I really need to step out and take care of.
나가지 말고 여기서 얌전히 지내고 있어야 해.,Don't go out. Just stay put here.
알았지?,Got it?
응,Yeah.
고개를 끄덕인다.,I nod.
얌전히 있기로 약속한 거야!,You promised to stay put!
나가면 너를 찾아 헤매다가 나 죽어버릴 거니까!,If you leave` I'll end up dying trying to find you!
그러니까 얌전히 자고 있어♡\n보고 싶을 거야.,So keep sleeping quietly♡\nYou're going to miss me.
역시 죽에 뭘 탔나 보다.,Just as I thought—someone laced the porridge.
시야가 흐려지고 잠이 온다,My vision blurs` and sleep comes over me.
날 납치한 납치범은 방을 나간 것 같다.,The kidnapper who abducted me seems to have left the room.
너무 반항하는 걸 티내면 날 어떻게 할지 몰라...,If I make my defiance too obvious` I don’t know what they’ll do to me...
납치범의 앞에서는 얌전한 척을 하고 납치범이 자리를 비웠을 때 탈출에 대한 정보를 찾아봐야겠다.,I'll act docile in front of the kidnapper` and when they step away` I'll look for information on how to escape.
곰인형들이 무더기로 침대 위에 올려져 있다.,Teddy bears are heaped on the bed.
잠 잘 때마다 느낀 찝찝함은 얘네들 때문이었나....,Was the nagging unease I felt every time I slept because of these things....
레이스가 잔뜩 달린 이불이다.,A heavily lace-trimmed blanket.
평소의 내 취향과는 거리가 있다.,It's far from my usual taste.
감기약과 캔에 담긴 술이다.,It's cold medicine and canned alcohol.
술과 약을 함께 먹는 건가?,Are you mixing alcohol with your meds?
약은 꽤 많이 비워져 있다.,The pills are mostly gone.
그나저나 빨대에도 리본을 달아놨네...,Come to think of it` there’s even a ribbon on the straw...
